"start";"end";"I1_min";"I1_max";"I2_min";"I2_max";"I3_min";"I3_max";"U12_min";"U12_max";"U23_min";"U23_max";"U31_min";"U31_max"
"08.07.2018 03:18:14.971526";"08.07.2018 03:18:14.971726";31,4186;33,81276;-62,91289;-62,06198;29,99722;33,47438;42034,67;42964,27;-40244,04;-39148,7;-3815,576;-1790,631
"08.07.2018 03:18:14.971726";"08.07.2018 03:18:14.971927";33,81276;36,38013;-62,06198;-61,09739;26,24617;29,99722;42964,27;43722,16;-39148,7;-38142,16;-5580,002;-3815,576
"08.07.2018 03:18:14.971927";"08.07.2018 03:18:14.972127";36,38013;38,98959;-61,09739;-60,22141;22,58003;26,24617;43722,16;44397,79;-38142,16;-36729,19;-7668,606;-5580,002
"08.07.2018 03:18:14.972127";"08.07.2018 03:18:14.972328";38,98959;43,97157;-60,22141;-59,37797;16,58389;22,58003;44397,79;45883,68;-36729,19;-33613,87;-12269,81;-7668,606
"08.07.2018 03:18:14.972328";"08.07.2018 03:18:14.972528";43,97157;46,30375;-59,45731;-59,37797;14,35997;16,58389;45883,68;46505,98;-33613,87;-31542,45;-14963,52;-12269,81
"08.07.2018 03:18:14.972528";"08.07.2018 03:18:14.972728";46,30375;48,56987;-59,6604;-59,45731;12,40047;14,35997;46505,98;47120,61;-31542,45;-29611,57;-17509,05;-14963,52
"08.07.2018 03:18:14.972728";"08.07.2018 03:18:14.972929";48,56987;52,99498;-59,68904;-59,22866;7,922207;12,40047;47120,61;47725,7;-29611,57;-25271,84;-22453,87;-17509,05
"08.07.2018 03:18:14.972929";"08.07.2018 03:18:14.973129";52,99498;55,1114;-59,22866;-58,05086;4,862724;7,922207;47725,7;47735,27;-25271,84;-23290,38;-24444,89;-22453,87
"08.07.2018 03:18:14.973129";"08.07.2018 03:18:14.973330";55,1114;57,08666;-58,05086;-56,09599;1,166262;4,862724;47602,92;47735,27;-23290,38;-21293,41;-26309,51;-24444,89
"08.07.2018 03:18:14.973330";"08.07.2018 03:18:14.973530";57,08666;58,8617;-56,09599;-53,50414;-2,990781;1,166262;47368,97;47602,92;-21293,41;-19577,1;-27791,88;-26309,51
"08.07.2018 03:18:14.973530";"08.07.2018 03:18:14.973731";58,8617;61,72255;-53,50414;-47,69902;-11,37843;-2,990781;46526,76;47368,97;-19577,1;-15859,19;-30667,58;-27791,88
"08.07.2018 03:18:14.973731";"08.07.2018 03:18:14.973931";61,72255;62,83739;-47,69902;-45,18626;-14,95639;-11,37843;46071,67;46526,76;-15859,19;-13858,68;-32212,99;-30667,58
"08.07.2018 03:18:14.973931";"08.07.2018 03:18:14.974131";62,83739;63,76757;-45,18626;-43,20667;-17,87623;-14,95639;45351,42;46071,67;-13858,68;-11414,29;-33937,13;-32212,99
"08.07.2018 03:18:14.974131";"08.07.2018 03:18:14.974332";63,76757;64,96072;-43,20667;-40,43801;-21,99495;-17,87623;43795,01;45351,42;-11414,29;-6338,327;-37456,69;-33937,13
"08.07.2018 03:18:14.974332";"08.07.2018 03:18:14.974532";64,96072;65,07338;-40,43801;-39,02782;-23,63096;-21,99495;42751,71;43795,01;-6338,327;-3679,688;-39072,02;-37456,69
"08.07.2018 03:18:14.974532";"08.07.2018 03:18:14.974733";64,75912;65,07338;-39,02782;-37,12124;-25,33327;-23,63096;41685,86;42751,71;-3679,688;-1212,853;-40473,01;-39072,02
"08.07.2018 03:18:14.974733";"08.07.2018 03:18:14.974933";64,00682;64,75912;-37,12124;-34,49791;-27,29244;-25,33327;40611,82;41685,86;-1212,853;972,6194;-41584,44;-40473,01
"08.07.2018 03:18:14.974933";"08.07.2018 03:18:14.975134";61,64191;64,00682;-34,49791;-27,29439;-32,18819;-27,29244;38413,88;40611,82;972,6194;5014,449;-43428,33;-41584,44
"08.07.2018 03:18:14.975134";"08.07.2018 03:18:14.975334";60,46859;61,64191;-27,29439;-23,28487;-34,98214;-32,18819;37093,42;38413,88;5014,449;7100,269;-44193,7;-43428,33
"08.07.2018 03:18:14.975334";"08.07.2018 03:18:14.975534";59,62106;60,46859;-23,28487;-19,50582;-37,82878;-34,98214;35671,58;37093,42;7100,269;9350,365;-45021,95;-44193,7
"08.07.2018 03:18:14.975534";"08.07.2018 03:18:14.975735";59,23812;59,62106;-19,50582;-16,23364;-40,60246;-37,82878;33982,86;35671,58;9350,365;11640,58;-45623,45;-45021,95
"08.07.2018 03:18:14.975735";"08.07.2018 03:18:14.975935";59,23812;59,60575;-16,23364;-11,29904;-45,65419;-40,60246;30005,06;33982,86;11640,58;16917,48;-46922,54;-45623,45
"08.07.2018 03:18:14.975935";"08.07.2018 03:18:14.976136";59,60575;59,83547;-11,29904;-9,182898;-47,90685;-45,65419;27940,53;30005,06;16917,48;19366,72;-47307,24;-46922,54
"08.07.2018 03:18:14.976136";"08.07.2018 03:18:14.976336";59,62828;59,83547;-9,182898;-6,833469;-50,00352;-47,90685;25726,26;27940,53;19366,72;21924,39;-47650,66;-47307,24
"08.07.2018 03:18:14.976336";"08.07.2018 03:18:14.976537";56,96373;59,62828;-6,833469;-0,4610993;-53,81525;-50,00352;21697,07;25726,26;21924,39;25894,26;-47739,56;-47591,34
"08.07.2018 03:18:14.976537";"08.07.2018 03:18:14.976737";54,51588;56,96373;-0,4610993;3,563012;-55,54965;-53,81525;19875,88;21697,07;25894,26;27491,88;-47591,34;-47367,77
"08.07.2018 03:18:14.976737";"08.07.2018 03:18:14.976937";51,65936;54,51588;3,563012;7,817639;-57,16927;-55,54965;18159,1;19875,88;27491,88;28842,81;-47367,77;-47001,92
"08.07.2018 03:18:14.976937";"08.07.2018 03:18:14.977138";48,78089;51,65936;7,817639;11,92291;-58,666;-57,16927;16288,07;18159,1;28842,81;30350,4;-47001,92;-46638,47
"08.07.2018 03:18:14.977138";"08.07.2018 03:18:14.977338";44,19212;48,78089;11,92291;18,44284;-61,19519;-58,666;11884,51;16288,07;30350,4;33606,26;-46638,47;-45490,77
"08.07.2018 03:18:14.977338";"08.07.2018 03:18:14.977539";42,64319;44,19212;18,44284;20,64378;-62,12552;-61,19519;9286,973;11884,51;33606,26;35462,41;-45490,77;-44749,38
"08.07.2018 03:18:14.977539";"08.07.2018 03:18:14.977739";41,34241;42,64319;20,64378;22,31474;-62,72843;-62,12552;6835,159;9286,973;35462,41;37041,4;-44749,38;-43876,56
"08.07.2018 03:18:14.977739";"08.07.2018 03:18:14.977940";38,03943;41,34241;22,31474;25,28238;-62,92112;-62,65402;1728,139;6835,159;37041,4;40094,46;-43876,56;-41822,6
"08.07.2018 03:18:14.977940";"08.07.2018 03:18:14.978140";35,4557;38,03943;25,28238;27,14429;-62,65402;-61,94533;-507,0372;1728,139;40094,46;41261,65;-41822,6;-40754,63
"08.07.2018 03:18:14.978140";"08.07.2018 03:18:14.978340";32,16611;35,4557;27,14429;29,45155;-61,94533;-60,90218;-2716,995;-507,0372;41261,65;42328,66;-40754,63;-39611,65
"08.07.2018 03:18:14.978340";"08.07.2018 03:18:14.978541";28,38079;32,16611;29,45155;32,17112;-60,90218;-59,71548;-4666,167;-2716,995;42328,66;43212,91;-39611,65;-38546,76
"08.07.2018 03:18:14.978541";"08.07.2018 03:18:14.978741";20,77546;28,38079;32,17112;38,23951;-59,71548;-57,84354;-8726,176;-4666,167;43212,91;44740,15;-38546,76;-36013,98
